City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bambous Virieux,MU,2022-04-28 19:33:50,-20.3428,57.7575,74.21,94,20,5.75
1,Port Alfred,ZA,2022-04-28 19:33:50,-33.5906,26.891,66.31,58,2,9.64
2,Dikson,RU,2022-04-28 19:33:51,73.5069,80.5464,9.73,92,93,21.52
3,Punta Arenas,CL,2022-04-28 19:31:24,-53.15,-70.9167,46.42,70,75,23.02
4,Mahebourg,MU,2022-04-28 19:33:51,-20.4081,57.7,74.25,94,20,5.75
5,Bluff,NZ,2022-04-28 19:33:51,-46.6,168.3333,47.12,88,58,6.49
6,Ahipara,NZ,2022-04-28 19:33:52,-35.1667,173.1667,57.78,86,7,7.09
7,Byron Bay,AU,2022-04-28 19:33:52,-28.65,153.6167,66.94,87,82,3.74
8,New Norfolk,AU,2022-04-28 19:33:52,-42.7826,147.0587,58.5,86,0,3.47
9,Coihaique,CL,2022-04-28 19:31:34,-45.5752,-72.0662,46.35,49,40,6.91
10,Kysyl-Syr,RU,2022-04-28 19:33:53,63.8986,122.7617,13.05,97,42,1.97
11,Butaritari,KI,2022-04-28 19:33:53,3.0707,172.7902,81.52,79,100,16.24
12,Chokurdakh,RU,2022-04-28 19:33:54,70.6333,147.9167,-8.1,100,100,3.87
13,Port Elizabeth,ZA,2022-04-28 19:33:54,-33.918,25.5701,60.31,83,0,4.61
14,Lorengau,PG,2022-04-28 19:33:54,-2.0226,147.2712,80.26,76,99,0.29
15,Cape Town,ZA,2022-04-28 19:33:22,-33.9258,18.4232,60.91,86,20,9.22
16,Avarua,CK,2022-04-28 19:33:55,-21.2078,-159.775,82.45,78,20,10.36
